epoch,train_loss_mse
1,1.9402280000e+00
2,1.0732870000e+00
3,1.0278470000e+00
4,6.0814010000e-01
5,5.0692290000e-01
6,4.4809200000e-01
7,4.3926990000e-01
8,3.9229180000e-01
9,3.8921110000e-01
10,3.7697500000e-01
11,3.4985270000e-01
12,3.5902080000e-01
13,3.4429360000e-01
14,3.3058620000e-01
15,3.2373790000e-01
16,3.0961530000e-01
17,2.9638970000e-01
18,2.9368350000e-01
19,2.7298510000e-01
20,2.7770300000e-01
21,2.5493420000e-01
22,2.4487000000e-01
23,2.4135560000e-01
24,2.4041760000e-01
25,2.2828980000e-01
26,2.3051680000e-01
27,2.2513320000e-01
28,2.2153260000e-01
29,2.1012590000e-01
30,2.0270130000e-01
31,2.1045940000e-01
32,1.9440150000e-01
33,1.8741990000e-01
34,1.9588760000e-01
35,1.9766670000e-01
36,1.9302410000e-01
37,1.8317580000e-01
38,1.8185640000e-01
39,1.7538970000e-01
40,1.8158650000e-01
41,1.7068110000e-01
42,1.7233210000e-01
43,1.6900300000e-01
44,1.6861490000e-01
45,1.7289200000e-01
46,1.6444260000e-01
47,1.5924320000e-01
48,1.5783740000e-01
49,1.5645130000e-01
50,1.5945560000e-01
51,1.4604390000e-01
52,1.4828350000e-01
53,1.4956370000e-01
54,1.4568520000e-01
55,1.4250810000e-01
56,1.4045710000e-01
57,1.4719420000e-01
58,1.4200030000e-01
59,1.4262500000e-01
60,1.3725010000e-01
61,1.3737430000e-01
62,1.3755800000e-01
63,1.3592050000e-01
64,1.4354610000e-01
65,1.3319420000e-01
66,1.3482350000e-01
67,1.2981290000e-01
68,1.2773930000e-01
69,1.3290140000e-01
70,1.2462440000e-01
71,1.2184600000e-01
72,1.2937110000e-01
73,1.2634860000e-01
74,1.2122090000e-01
75,1.1760950000e-01
76,1.2198440000e-01
77,1.2167160000e-01
78,1.2003240000e-01
79,1.1957480000e-01
80,1.1352650000e-01
81,1.1870750000e-01
82,1.1322060000e-01
83,1.1363950000e-01
84,1.1283820000e-01
85,1.1442580000e-01
86,1.1034510000e-01
87,1.0904130000e-01
88,1.0973760000e-01
89,1.0790130000e-01
90,1.0579860000e-01
91,1.0986110000e-01
92,1.0689080000e-01
93,1.0151150000e-01
94,1.0402180000e-01
95,1.0073920000e-01
96,1.0034200000e-01
97,9.8338850000e-02
98,1.0044840000e-01
99,9.9049070000e-02
100,9.6697240000e-02
101,9.8108080000e-02
102,9.5560070000e-02
103,9.8319510000e-02
104,9.8738260000e-02
105,9.8120210000e-02
106,9.4770630000e-02
107,9.4456030000e-02
108,9.1769140000e-02
109,9.4355710000e-02
110,9.3729010000e-02
111,9.2864890000e-02
112,8.6240890000e-02
113,9.6155990000e-02
114,8.7779990000e-02
115,8.8068690000e-02
116,8.9165450000e-02
117,8.5493350000e-02
118,8.8932560000e-02
119,8.7859980000e-02
120,8.5962760000e-02
121,8.6611480000e-02
122,8.7625900000e-02
123,8.6985300000e-02
124,8.4434870000e-02
125,8.5418890000e-02
126,8.4731080000e-02
127,8.5552440000e-02
128,8.1110050000e-02
129,8.2049680000e-02
130,7.9856730000e-02
131,8.0263430000e-02
132,8.0047870000e-02
133,8.4940960000e-02
134,7.9850600000e-02
135,7.8475330000e-02
136,8.0962490000e-02
137,7.7023360000e-02
138,7.9186970000e-02
139,7.6198470000e-02
140,7.6913120000e-02
141,7.8165850000e-02
142,7.5500740000e-02
143,7.9548070000e-02
144,7.4092680000e-02
145,7.5073870000e-02
146,7.3953970000e-02
147,7.4006140000e-02
148,7.3527680000e-02
149,7.5279910000e-02
150,7.3283430000e-02
151,7.2124570000e-02
152,7.4212760000e-02
153,7.1319300000e-02
154,7.0492260000e-02
155,7.1225810000e-02
156,7.4327240000e-02
157,7.1912820000e-02
158,6.8149250000e-02
159,7.1403180000e-02
160,6.8964440000e-02
161,6.9472680000e-02
162,6.6762510000e-02
163,6.7289190000e-02
164,6.7258310000e-02
165,6.6157360000e-02
166,6.9327180000e-02
167,6.7957740000e-02
168,6.6242500000e-02
169,6.4626810000e-02
170,6.6994570000e-02
171,6.5823230000e-02
172,6.7077910000e-02
173,6.9729730000e-02
174,6.3765560000e-02
175,6.4899690000e-02
176,6.5017530000e-02
177,6.3388420000e-02
178,6.3700140000e-02
179,6.5673380000e-02
180,6.3183110000e-02
181,6.3304030000e-02
182,6.2451300000e-02
183,6.4344330000e-02
184,6.1225300000e-02
185,6.1642570000e-02
186,5.8812660000e-02
187,6.0452360000e-02
188,6.0080430000e-02
189,6.1897750000e-02
190,5.9735530000e-02
191,6.0532530000e-02
192,5.8856470000e-02
193,6.1975670000e-02
194,5.9127770000e-02
195,5.9019980000e-02
196,5.9189450000e-02
197,5.8774140000e-02
198,5.9729860000e-02
199,5.8635810000e-02
200,6.2847640000e-02
